"Variable" "Componente1" "Componente2" "Componente3" "Componente4" "Componente5"
"nutriente2" "nutriente2" 0.95 0.02 0.12 0.1 -0.13
"nutriente3" "nutriente3" 0.45 0.08 -0.04 -0.42 0.14
"nutriente4" "nutriente4" 0.96 0 0.1 0.08 0.03
"nutriente5" "nutriente5" 0.53 -0.09 -0.26 -0.36 0.2
"nutriente6" "nutriente6" 0.34 0.41 0.16 -0.07 0.06
"nutriente7" "nutriente7" 0.96 -0.15 0.12 0.06 -0.01
"nutriente8" "nutriente8" 0.88 0.23 -0.08 -0.27 0.11
"nutriente9" "nutriente9" 0.62 0.2 0.27 -0.14 0.03
"nutriente10" "nutriente10" 0.93 0.07 0.06 0.03 0.01
"nutriente11" "nutriente11" 0.89 0.13 -0.03 -0.25 0.13
"nutriente12" "nutriente12" 0.88 0.27 -0.19 -0.08 -0.07
"nutriente13" "nutriente13" 0.94 -0.07 -0.12 0.05 -0.02
"nutriente14" "nutriente14" 0.87 -0.3 0.14 0.04 -0.19
"nutriente15" "nutriente15" 0.57 0.33 -0.52 -0.16 -0.13
"nutriente16" "nutriente16" 0.68 -0.4 0.19 -0.04 -0.16
"nutriente17" "nutriente17" 0.48 0.16 -0.58 -0.1 -0.03
"nutriente18" "nutriente18" 0.55 0.23 0.14 0.2 0.28
"nutriente19" "nutriente19" 0.77 -0.4 0.16 0.08 -0.06
